State,avg_monthly_ssi_payment,caps,arp_caregiver_family_support,ui_good_cause_caregiving,spousal_impoverishment,hcbs_expenditure_ratio,hcbs_user_ratio,pct_ltss_hcbs_older_adults,home_health_aides_per100,arp_waiting_list_diversion,arp_tech_telehealth,arp_cross_sector_investments,livability_transportation,livability_housing,hcbs_presumptive_eligibility,section_811_pra,vr_spending_career,vr_spending_training,special_ed_policy_score,arp_workforce_training,buy_in_working_people,subminimum_wage_14c,medicaid_eligibility_threshold,ssi_auto_enroll_medicaid,medically_needy,ssi_criteria_209,arp_quality_improvement,smd_demonstration_projects,initial_ar,reconsidered_ar,total_ar,adl_medicaid_coverage_pct,private_ltci_per1000,section_811_pct_disability,fema_shmp,family_responsibility_class,sdpi_minmax,sdpi_zscore,sdpi_hybrid
Maryland,0.5271730619001741,0.2631578947368421,0.31541218637992835,0.5,0,1,0,0,0,1,0,0,0.5711864406779662,0.7431192660550459,1,1,0.351506456241033,0.2872340425531915,1,0,0,0.6809815950920243,0,0.6406249999999999,0.6655172413793102,0.4692082111436951,0.25217391304347825,0.5263157894736842,0,0,0.3870967741935484,0.18181818181818182,0,1,0,0,0.36162156796146017,-0.09162139689710633,0.34258821575068776
Massachusetts,0.3507439310011701,0.5506072874493927,0.0931899641577061,1,0,0.5,1,1,1,1,0,0.35135135135135137,0.5542372881355933,0.5917431192660548,1,1,0.6097560975609756,0.49361702127659574,1,1,1,0.46012269938650313,1,0.7343749999999999,0.5827586206896551,0.844574780058651,0.28695652173913044,0.6842105263157895,1,1,0.1935483870967742,0.09090909090909091,0,1,0,0,0.5606496537098986,0.4150205186115895,0.6074188160872616
Michigan,0.4995301489579635,0.07692307692307693,0.14695340501792115,0,1,1,1,0,0,1,0,0.35135135135135137,0.5152542372881357,0.805045871559633,1,1,0.2281205164992826,0.19361702127659577,1,0,0,0.37423312883435556,1,0.4609375,0.41379310344827586,0.5777126099706744,0.1391304347826087,0.5263157894736842,0,0,0.3870967741935484,0.36363636363636365,1,1,0,0,0.4052917850751652,0.013283498687700923,0.323711033277874
Minnesota,0.5674236492702833,0.5182186234817814,0.10035842293906809,0.5,1,0,0,1,1,1,0,0.2972972972972973,0.8169491525423729,0.8761467889908255,0,1,0.8407460545193686,0.6382978723404256,0,1,0,0.6319018404907975,0,0.21093749999999994,0.4482758620689655,0.4868035190615835,0.4956521739130435,0.5789473684210527,1,0,0,0.5909090909090909,0,1,0,1,0.5226882580097116,0.33157038389149057,0.5477708760095062
Mississippi,0.16687548935201624,0.2631578947368421,0.8458781362007168,0.5,0,0.5,1,0,1,1,0,0,0.04067796610169501,0.11009174311926613,1,0,0.21090387374461977,0.08723404255319152,1,0,1,0.22699386503067462,0,0.8984375,0.5241379310344826,0.5542521994134898,0.0782608695652174,0,1,1,0.22580645161290322,0.7727272727272727,0,0,0,0,0.33165100989055063,-0.2001939505851579,0.1184740669993759
Missouri,0.2554424436368824,0.49392712550607293,0.3942652329749104,0.5,0,0,0,0,0,1,0,0.14864864864864866,0.5745762711864407,0.4862385321100917,0,1,0.42898134863701576,0.3127659574468085,0,1,1,0.6012269938650306,0,0.421875,0.5241379310344826,0.1964809384164222,0.2782608695652174,0.42105263157894735,1,1,0.5806451612903226,0.5909090909090909,0,1,1,0,0.46001711253282185,-0.009245976219777218,0.3126464033238953
Montana,0,0.016194331983805668,0.21863799283154126,0.5,1,0,0,0,0,1,0,0,0.4372881355932204,0.5894495412844036,1,1,0.3314203730272597,0.18297872340425536,1,1,0,0.3128834355828218,1,0.49218750000000006,0.393103448275862,0.527859237536657,0.2608695652173913,0.7368421052631579,1,0,0.3870967741935484,0.8181818181818182,0,1,0,0,0.4056277675545353,-0.16387394992633958,0.20005652838944082
Nebraska,0.18332028246933577,0.9190283400809716,0.3942652329749104,0,0,0,0,1,0,1,0.5,0.35135135135135137,0.42881355932203397,0.37614678899082576,1,1,0.2682926829268293,0.18297872340425536,0,0,0,0.9141104294478528,1,0.421875,0.7,0.3929618768328446,0.6434782608695652,0.47368421052631576,1,1,0.41935483870967744,0.8636363636363636,0,0,0,0,0.33394641390283353,-0.016793054503779915,0.3858075866627982
Nevada,0.3361785435288947,0.10931174089068826,0.08243727598566307,1,0,0,0,1,0,1,1,0,0.4813559322033899,0.8027522935779815,1,0,0.28694404591104733,0.10000000000000002,0,1,0,0.31901840490797523,0,0.5624999999999999,0.4275862068965517,0.28739002932551316,0.034782608695652174,0.631578947368421,0,0,0.2903225806451613,0.5,0,1,0,0,0.33043588590495304,-0.19576860727947576,0.21406467955138653
New Hampshire,0.07940485564213334,0.2672064777327935,0.22222222222222218,0.5,1,0,0,1,0,1,0,0,0.5423728813559322,0.6077981651376145,0,1,0,0.4,0,0,1,0.9754601226993865,0,1,0.9896551724137932,0.4281524926686216,0.2,1,1,1,0.4838709677419355,0.5,1,1,0,0,0.4422720071499485,0.13153479974959742,0.47713004866790526
New Jersey,0.05583398654113734,0.04453441295546559,0.15053763440860216,0.5,0,1,0,0,0,1,0,0.35135135135135137,0.5542372881355933,0.7018348623853211,1,1,0.6111908177905309,0.32127659574468087,1,1,0,0.34969325153374214,0,0.29687500000000006,0.3275862068965517,0.48387096774193555,0.22608695652173913,0.3157894736842105,0,1,0.41935483870967744,0.13636363636363635,1,1,0,0,0.38453281955771906,-0.22675393776463365,0.1418484367742844
New Mexico,0.15552075177466396,0,0.25089605734767023,1,1,0,0,0,0,1,0,0,0.705084745762712,0.8623853211009175,1,0,0.6183644189383071,0.548936170212766,1,1,0,0.5276073619631899,1,0.6953124999999999,0.603448275862069,0.721407624633431,0.2,0.5263157894736842,1,0,0.45161290322580644,0.6363636363636364,0,1,0,0,0.457031133700622,-0.0193895843162534,0.35168687392711384
New York,0.3532498047022629,0.145748987854251,0.1863799283154122,0.5,1,0.5,0,1,0,1,0,1,0.6915254237288135,0.8555045871559631,1,1,0.7403156384505021,1,1,1,0,0.380368098159509,0,0.5546875000000001,0.45862068965517233,0.8885630498533725,0.1826086956521739,0.7368421052631579,1,0,0.22580645161290322,0.45454545454545453,0,0,0,1,0.50141437564552,0.40708935698193116,0.6337448587891995
North Carolina,0.21574001618504024,0.33603238866396756,0.5304659498207885,0,0,1,0,0,0,1,0,0.2972972972972973,0.1016949152542373,0.6146788990825687,1,1,0.3902439024390244,0.1702127659574468,1,1,0,0.26380368098159496,1,0.48437499999999994,0.3620689655172414,0.2903225806451613,0.1565217391304348,0.2631578947368421,0,1,0.25806451612903225,0.5454545454545454,0,1,1,0,0.4411946310432854,-0.07245985546353215,0.21304303996154483
North Dakota,0.0029757247431293618,0.3724696356275303,0.15053763440860216,0.5,0,0,0,0,0,1,0,0,0.09491525423728817,0.5527522935779817,0,1,0.07890961262553801,0.26595744680851063,0,1,1,0.7791411042944784,0,0.5078125,0.6620689655172413,0.16129032258064518,0.6434782608695652,0.7368421052631579,0,1,0.3870967741935484,1,0,0,1,0,0.35268061875617157,-0.10753983772172093,0.2530516240174367
Ohio,0.5075176196263804,0.40485829959514164,0.13620071684587812,1,1,0,0,0,0,1,0,0,0.44576271186440686,0.8600917431192658,1,0,0.4777618364418938,0.27872340425531916,1,1,0,0.21472392638036814,0,0.24999999999999994,0.23103448275862054,0.4868035190615835,0.17391304347826086,0.47368421052631576,1,1,0.3225806451612903,0.5454545454545454,1,1,0,0,0.44745594497723884,-0.07014545374672874,0.27171923503056217
Oklahoma,0.3560689116929311,0.20242914979757085,0.1326164874551971,1,0,0,0,1,0,0,1,0.2972972972972973,0.2067796610169492,0.1743119266055046,1,0,0.19368723098995694,0.11702127659574468,0,0,0,0.07361963190184025,0,0.28906249999999994,0.16896551724137926,0,0.10434782608695652,0.47368421052631576,0,0,0.7419354838709677,0.6363636363636364,1,0,0,0,0.20941457555909163,-0.4911066983793634,0.06347429308284776
Oregon,0.3907595932194856,0.09716599190283401,0.4802867383512545,0.5,1,0,1,1,0,1,0,0,0.7576271186440678,1,0,0,0.7761836441893829,0.3191489361702128,0,1,1,0.6932515337423313,0,0.5390624999999999,0.6275862068965515,0.5102639296187683,0.17391304347826086,0.8947368421052632,0,1,0.25806451612903225,0.5,0,1,0,0,0.4600677359581941,0.1800453585700957,0.5194874521822571
Pennsylvania,0.5663273294337491,0.09716599190283401,0.4802867383512545,1,1,0.5,1,1,0,1,1,0.35135135135135137,0.49661016949152537,0.7155963302752293,1,1,0.33572453371592537,0.5638297872340426,1,1,0,0.32515337423312873,0,0.36718749999999994,0.3448275862068966,0.4780058651026393,0.1565217391304348,0.5789473684210527,1,0,0.41935483870967744,0.8636363636363636,0,1,1,0,0.5897027760874077,0.5129823778812128,0.6576707034095344
